make,model_range,ids_code,description,model_year,model_year_decimal,body_style,long_description,model_group,model_tree_description,special_edition,vehicle_tree_description,current_vehicle,commercial,reclaim_vat,basic_price,manufacturers_delivery_price,mrp,p11d_price,date_of_introduction,end_of_production,price_list_date,door,engine_size,insurance_group,fuel_type,transmission_type,mpg_urban,mpg_extra_urban,mpg_combined,co2_emissions,euro_emissions,bhp,power_ps,power_kw,torque,rpm_for_torque,length,width,height,gross_vehicle_weight,unladen_weight,towing_weight_braked,towing_weight_unbraked,wheel_base,ground_clearance,fuel_tank_size,boot_capacity,maximum_speed,acceleration_0_100_kph,acceleration_0_60_mph,front_tyres,rear_tyres,spare_tyre,front_brakes,rear_brakes,servicing_indication,image_filename,gears,axles,manufacturer_model_description,seats,otr_price,win_commercial,parent_ids_code,trim,vehicle_factory_code,fleetware_code
Ford,Ford TOURNEO CONNECT model range,FO043904,TOURNEO CONNECT 1.5 EcBt 114 TNM AU 7ST,24A,2024.01,Estate,Tourneo Connect 1.5 EcoBoost 114 Titanium Auto 7Seat,Tourneo Connect,Tourneo Connect,FALSE,1.5 EcoBoost 114 Titanium Auto,TRUE,FALSE,FALSE,27447,20.83,32936.4,32961.4,16/01/2024,NULL,16/01/2024,5,1498,9,Petrol,Automatic,NULL,NULL,NULL,NULL,6,112,113.56,78.27,199.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,7,NULL,Tourneo Connect,7,33696.4,0,FO040803,TITANIUM,NULL,194456
Ford,Ford TOURNEO CONNECT model range,FO043905,GRAND TOURNEO CNT 1.5 EcBt 114 ACV 7ST,24A,2024.01,Estate,Grand Tourneo Connect 1.5 EcoBoost 114 Active 7Seat,Tourneo Connect,Tourneo Connect,FALSE,Grand 1.5 EcoBoost 114 Active,TRUE,FALSE,FALSE,27488,20.83,32985.6,33010.6,16/01/2024,NULL,16/01/2024,5,1498,9,Petrol,Manual,NULL,NULL,NULL,NULL,6,112,113.56,78.27,199.2,NULL,4418,2137,1852,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,215/55R17 V,215/55R17 V,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,6,NULL,Tourneo Connect,7,33335.6,0,FO040804,ACTIVE,NULL,194457
Ford,Ford TOURNEO CONNECT model range,FO043906,GRAND TOURNEO CNT 1.5EcBt 114 ACV AU 7ST,24A,2024.01,Estate,Grand Tourneo Connect 1.5EcBt 114 Active Auto 7Seat,Tourneo Connect,Tourneo Connect,FALSE,Grand 1.5EcBt 114 Active Auto,TRUE,FALSE,FALSE,28739,20.83,34486.8,34511.8,16/01/2024,NULL,16/01/2024,5,1498,9,Petrol,Automatic,NULL,NULL,NULL,NULL,6,112,113.56,78.27,199.2,NULL,4418,2137,1852,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,215/55R17 V,215/55R17 V,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,7,NULL,Tourneo Connect,7,35246.8,0,FO040805,ACTIVE,NULL,194458
Ford,Ford TOURNEO CONNECT model range,FO043907,TOURNEO CONNECT 1.5 EcBt 114 ACTIVE 7ST,24A,2024.01,Estate,Tourneo Connect 1.5 EcoBoost 114 Active 7Seat,Tourneo Connect,Tourneo Connect,FALSE,1.5 EcoBoost 114 Active,TRUE,FALSE,FALSE,27318,20.83,32781.6,32806.6,16/01/2024,NULL,16/01/2024,5,1498,9,Petrol,Manual,NULL,NULL,NULL,NULL,6,112,113.56,78.27,199.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,215/55R17 V,215/55R17 V,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,6,NULL,Tourneo Connect,7,33131.6,0,FO040806,ACTIVE,NULL,194459
Ford,Ford TOURNEO CONNECT model range,FO043908,TOURNEO CONNECT 1.5 EcBt 114 ACTV AU 7ST,24A,2024.01,Estate,Tourneo Connect 1.5 EcoBoost 114 Activ Auto 7Seat,Tourneo Connect,Tourneo Connect,FALSE,1.5 EcoBoost 114 Activ Auto,TRUE,FALSE,FALSE,28219,20.83,33862.8,33887.8,16/01/2024,NULL,16/01/2024,5,1498,9,Petrol,Automatic,NULL,NULL,NULL,NULL,6,112,113.56,78.27,199.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,215/55R17 V,215/55R17 V,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,7,NULL,Tourneo Connect,7,34622.8,0,FO040807,ACTIVE,NULL,194460
Ford,Ford TOURNEO CONNECT model range,FO043909,GRAND TOURNEO CONCT 2.0 EBL 122 TNM 7ST,24A,2024.01,Estate,Grand Tourneo Connect 2.0 EcoBlue 122 Titanium 7Seat,Tourneo Connect,Tourneo Connect,FALSE,Grand 2.0 EcoBlue 122 Titanium,TRUE,FALSE,FALSE,27466,20.83,32959.2,32984.2,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Manual,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,4418,2137,1852,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,6,NULL,Tourneo Connect,7,33309.2,0,FO040808,TITANIUM,NULL,194461
Ford,Ford TOURNEO CONNECT model range,FO043910,GRAND TOURNEO CNT 2.0 EBL 122 TNM AU 7ST,24A,2024.01,Estate,Grand Tourneo Connect 2.0 EcoBlue 122 Titanium Auto 7Seat,Tourneo Connect,Tourneo Connect,FALSE,Grand 2.0 EcoBlue 122 Titanium Auto,TRUE,FALSE,FALSE,28717,20.83,34460.4,34485.4,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Automatic,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,4418,2137,1852,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,7,NULL,Tourneo Connect,7,34810.4,0,FO040809,TITANIUM,NULL,194462
Ford,Ford TOURNEO CONNECT model range,FO043911,TOURNEO CONNECT 2.0 EBL 122 TTNM 7SEAT,24A,2024.01,Estate,Tourneo Connect 2.0 EcoBlue 122 Titanium 7SEAT,Tourneo Connect,Tourneo Connect,FALSE,2.0 EcoBlue 122 Titanium,TRUE,FALSE,FALSE,27296,20.83,32755.2,32780.2,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Manual,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,6,NULL,Tourneo Connect,7,33055.2,0,FO040810,TITANIUM,NULL,194463
Ford,Ford TOURNEO CONNECT model range,FO043912,TOURNEO CONNECT 2.0 EBL 122 TNM AU 7ST,24A,2024.01,Estate,Tourneo Connect 2.0 EcoBlue 122 Titanium Auto 7Seat,Tourneo Connect,Tourneo Connect,FALSE,2.0 EcoBlue 122 Titanium Auto,TRUE,FALSE,FALSE,28197,20.83,33836.4,33861.4,16/01/2024,NULL,16/01/2024,5,1995,9,Diesel,Automatic,NULL,NULL,NULL,NULL,6,120,121.67,83.86,199.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,205/60R16 H,205/60R16 H,Puncture repair kit,NULL,NULL,FALSE,tourneo-connect-fogt-24a.jpg,7,NULL,Tourneo Connect,7,34186.4,0,FO040811,TITANIUM,NULL,194464
Ford,Ford KUGA 5DR model range            NEW,FO043858,KUGA 5DR 1.5T EcoBoost 150 TITANIUM,24A,2024.01,Station Wagon,Kuga 5 Door 1.5T EcoBoost 150 Titanium,Kuga,Kuga 5 Door,FALSE,1.5T EcoBoost 150 Titanium,TRUE,FALSE,FALSE,26454.17,20.83,31745,31770,17/01/2024,NULL,01/04/2024,5,1498,21,Petrol,Manual,NULL,NULL,NULL,129,6,148,149.95,110.36,177,NULL,4614,2178,1678,NULL,NULL,NULL,NULL,2710,NULL,57,14.3,121,NULL,NULL,235/55R17 Y,235/55R17 Y,Space saver,NULL,NULL,FALSE,awaitingimage.jpg,6,NULL,Kuga,5,32095,0,NULL,TITANIUM,NULL,201749
